flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,1.75,2.0,2.5,2.75,8.152832874654073e-10,0.004660074616537932,3.831846598679016e-09,4.7000185795438645,4
nue,1.75,2.0,2.75,3.0,1.2148559404375086e-09,0.006943990411459726,5.709845491525525e-09,4.7000185795438645,1
nue,1.75,2.0,3.0,3.25,3.828758368410498e-10,0.002188478527623934,1.7995235468113394e-09,4.7000185795438645,4
nue,1.75,2.0,3.5,3.75,4.2352956841479297e-10,0.0024208510360354788,1.990596840535721e-09,4.7000185795438645,1
nue,2.0,2.25,1.75,2.0,2.4952341101537263e-09,0.014513835187130498,1.3137176981332016e-08,5.264907580364338,20
nue,2.0,2.25,2.0,2.25,1.2383449092914662e-07,0.7202985020580341,6.519771500034229e-07,5.264907580364338,2410
nue,2.0,2.25,2.25,2.5,3.62397120248344e-08,0.21079272899371887,1.9079873454977126e-07,5.264907580364338,628
nue,2.0,2.25,2.5,2.75,5.2872192898454754e-09,0.030753759360201565,2.7836720918155994e-08,5.264907580364338,33
nue,2.0,2.25,2.75,3.0,2.5526048960818493e-09,0.014847539398742782,1.3439228867056452e-08,5.264907580364338,7
nue,2.0,2.25,3.0,3.25,8.237132586129003e-10,0.004791229178982849,4.336774179317669e-09,5.264907580364338,3
nue,2.0,2.25,3.25,3.5,1.0356078844783917e-10,0.0006023740254531167,5.45237980127536e-10,5.264907580364338,1
nue,2.0,2.25,3.5,3.75,5.845371128949354e-10,0.003400031797736009,3.07753387668483e-09,5.264907580364338,3
nue,2.25,2.5,2.0,2.25,1.1901479030166555e-09,0.006967778011032779,5.724428811092208e-09,4.809846571659335,18
nue,2.25,2.5,2.25,2.5,1.201129526584035e-07,0.7032070453194192,5.777248735559021e-07,4.809846571659335,1959
nue,2.25,2.5,2.5,2.75,4.237954810043717e-08,0.24811309806391316,2.038391241393596e-07,4.809846571659335,607
nue,2.25,2.5,2.75,3.0,5.039667863117485e-09,0.02950497734822051,2.424002919371736e-08,4.809846571659335,61
nue,2.25,2.5,3.0,3.25,9.039525177740907e-10,0.005292233394185026,4.347872918558534e-09,4.809846571659335,7
nue,2.25,2.5,3.25,3.5,8.708603227549959e-10,0.005098493550417364,4.188704537797259e-09,4.809846571659335,3
nue,2.25,2.5,3.5,3.75,3.102501365662865e-10,0.0018163743128119727,1.4922555557201938e-09,4.809846571659335,1
nue,2.5,2.75,2.25,2.5,1.1038728993404634e-09,0.006468910798784632,5.488871028061183e-09,4.972375924203454,12
nue,2.5,2.75,2.5,2.75,1.1789964960742898e-07,0.6909149748799026,5.86241379180003e-07,4.972375924203454,1769
nue,2.5,2.75,2.75,3.0,4.496075027302237e-08,0.2634787783415893,2.2356175219170029e-07,4.972375924203454,597
nue,2.5,2.75,3.0,3.25,4.57346395094404e-09,0.02680139204231812,2.2740982039886552e-08,4.972375924203454,73
nue,2.5,2.75,3.25,3.5,2.035201439607186e-09,0.011926677952002475,1.011978663920698e-08,4.972375924203454,17
nue,2.5,2.75,3.5,3.75,6.983828405749083e-11,0.00040926598540286376,3.472622022351493e-10,4.972375924203454,1
nue,2.75,3.0,2.25,2.5,2.2817134895726764e-10,0.001357923325754143,1.1090899996815902e-09,4.860776801075505,1
