flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,5.5,5.75,6.75,7.0,2.1319389205408814e-08,0.12722975887310953,1.526957884304575e-08,0.7162296581729366,1
nue,5.5,5.75,7.0,7.25,1.25236772359575e-09,0.007473874694924542,8.969829065778028e-10,0.7162296581729366,1
nue,5.75,6.0,5.75,6.0,8.193820509174365e-08,0.49810097024910865,5.2086179233628675e-08,0.6356763511637753,75
nue,5.75,6.0,6.0,6.25,4.2964250215288975e-08,0.26117895424117976,2.7311357807342343e-08,0.6356763511637753,40
nue,5.75,6.0,6.25,6.5,1.9875971716590988e-08,0.12082569767781491,1.2634685176636958e-08,0.6356763511637753,18
nue,5.75,6.0,6.5,6.75,8.562781282231805e-09,0.0520530033570425,5.443157561302587e-09,0.6356763511637753,8
nue,5.75,6.0,6.75,7.0,4.34918418736304e-09,0.026438617505619464,2.7646735347621267e-09,0.6356763511637753,3
nue,5.75,6.0,7.0,7.25,3.7815517944046805e-09,0.02298798973850144,2.4038430464039944e-09,0.6356763511637753,2
nue,5.75,6.0,7.25,7.5,2.1963299554618157e-09,0.013351452848860933,1.3961550120396642e-09,0.6356763511637753,2
nue,5.75,6.0,7.5,7.75,8.329212690718948e-10,0.005063314381872325,5.294683531303232e-10,0.6356763511637753,1
nue,6.0,6.25,6.0,6.25,6.955063323961595e-08,0.4227087420041249,4.5621926693382805e-08,0.655952714854602,69
nue,6.0,6.25,6.25,6.5,5.8380391659665216e-08,0.35481922689538775,3.8294776403432364e-08,0.655952714854602,39
nue,6.0,6.25,6.5,6.75,2.2173964085803424e-08,0.13476697518572253,1.45450719411712e-08,0.655952714854602,19
nue,6.0,6.25,6.75,7.0,8.989713003885194e-09,0.05463688967084689,5.896826650662213e-09,0.655952714854602,8
nue,6.0,6.25,7.0,7.25,1.2342452435256889e-09,0.007501387549094868,8.09606518287055e-10,0.655952714854602,1
nue,6.0,6.25,7.25,7.5,9.42430188677257e-10,0.005727819588787876,6.181896408237816e-10,0.655952714854602,1
nue,6.0,6.25,7.5,7.75,2.4583071206558545e-09,0.014940883526568978,1.6125332297406075e-09,0.655952714854602,2
nue,6.0,6.25,7.75,8.0,8.059077666391275e-10,0.004898075579466292,5.286373874493447e-10,0.655952714854602,1
nue,6.25,6.5,6.25,6.5,4.762702023514715e-08,0.28040916271450284,3.947006595358118e-08,0.8287326345151778,55
nue,6.25,6.5,6.5,6.75,4.287518834416299e-08,0.2524322455080043,3.5532067791792636e-08,0.8287326345151778,43
nue,6.25,6.5,6.75,7.0,1.6577104844121672e-08,0.09759947329521033,1.3737987770103269e-08,0.8287326345151778,18
nue,6.25,6.5,7.0,7.25,5.499071229237068e-08,0.3237636852955669,4.557259787192252e-08,0.8287326345151778,15
nue,6.25,6.5,7.25,7.5,3.0119024699549906e-09,0.01773289711613243,2.4960618688285704e-09,0.8287326345151778,2
nue,6.25,6.5,7.5,7.75,4.766374109693429e-09,0.028062536070583313,3.95004977301117e-09,0.8287326345151778,3
nue,6.5,6.75,6.0,6.25,7.88875481055683e-10,0.004880993534669145,4.921510928586384e-10,0.6238641010873296,1
nue,6.5,6.75,6.5,6.75,8.338311917983126e-08,0.5159147107382026,5.20197346929831e-08,0.6238641010873296,71
nue,6.5,6.75,6.75,7.0,3.8651218157010034e-08,0.23914591144218394,2.4113107471453337e-08,0.6238641010873296,31
nue,6.5,6.75,7.0,7.25,1.689117573784895e-08,0.10451043485224201,1.0537798168001246e-08,0.6238641010873296,15
nue,6.5,6.75,7.25,7.5,8.339173862280017e-09,0.05159680416458224,5.202511205402277e-09,0.6238641010873296,7
nue,6.5,6.75,7.5,7.75,1.2211438706369881e-08,0.0755555912259273,7.61827823153247e-09,0.6238641010873296,8
nue,6.5,6.75,7.75,8.0,1.3569054510564437e-09,0.00839555404219279,8.465245994838258e-10,0.6238641010873296,1
nue,6.75,7.0,6.75,7.0,5.6255276937309386e-08,0.3423568126025857,2.9250019376037726e-08,0.5199515666527392,38
nue,6.75,7.0,7.0,7.25,6.832427001665723e-08,0.4158059577658522,3.5525311235565705e-08,0.5199515666527392,46
nue,6.75,7.0,7.25,7.5,2.9581239681601376e-08,0.1800246924659536,1.5380811915978812e-08,0.5199515666527392,15
nue,6.75,7.0,7.5,7.75,7.739081570986409e-09,0.04709828914480217,4.023947587287725e-09,0.5199515666527392,8
nue,6.75,7.0,7.75,8.0,2.4178110873335742e-09,0.014714248020806293,1.2571446627294548e-09,0.5199515666527392,2
nue,7.0,7.25,7.0,7.25,9.310830904098937e-08,0.5886558754665168,6.375933005733353e-08,0.6847866824567135,51
nue,7.0,7.25,7.25,7.5,3.78948183801197e-08,0.23958127603169901,2.594986696082186e-08,0.6847866824567135,35
nue,7.0,7.25,7.5,7.75,1.222143782078725e-08,0.07726723053995087,8.369077860147908e-09,0.6847866824567135,11
nue,7.0,7.25,7.75,8.0,1.4946469689505566e-08,0.09449561796183345,1.023514339311634e-08,0.6847866824567135,13
nue,7.25,7.5,7.25,7.5,6.726918263247276e-08,0.3990524209409999,2.2571176227195257e-08,0.3355351640068762,31
