point_id,dm41_calc_eV2,Ue4_abs,Umu4_abs,Ue4Umu4_abs,Umu4_sq,chi2_FHC_app,FHC_app_max_abs_rel,FHC_app_n3_total,FHC_app_n4_total,chi2_RHC_app,RHC_app_max_abs_rel,RHC_app_n3_total,RHC_app_n4_total,chi2_FHC_dis,FHC_dis_max_abs_rel,FHC_dis_n3_total,FHC_dis_n4_total,chi2_RHC_dis,RHC_dis_max_abs_rel,RHC_dis_n3_total,RHC_dis_n4_total,chi2_appearance,chi2_disappearance,chi2_all,excluded_appearance_90cl_stat_only,excluded_disappearance_90cl_stat_only,excluded_all_90cl_stat_only
96981,60.809775638,0.038696935515,0.12275971952,0.0047504249501049275,0.01506994873662907,7580.467725015431,0.025432968504191304,17976287.556782912,17619257.434521187,3445.5869460182116,0.025386891341470492,8825870.981021818,8658074.909665206,452598.1857509049,0.04057970430814873,504470837.46918505,489421767.30299413,200313.86803965917,0.04091501059890621,221111623.3332343,214486411.8530976,11026.054671033642,652912.0537905641,663938.1084615977,True,True,True
96986,79.010680612,0.0049725370043,0.085420703504,0.00042475760910697867,0.007296696587118277,1892.0022450014703,0.01300542112812944,17976287.57208525,17799935.38761333,837.5960872798425,0.012641026756542214,8825870.984467816,8744221.912027877,106602.38319590488,0.018658233648349974,504470833.3486135,497160382.97523105,46833.84520361533,0.017967073635243126,221111621.78393763,217904343.06446126,2729.5983322813127,153436.22839952022,156165.82673180153,True,True,True
97037,72.645664743,0.056964923627,0.065003349388,0.003702910833386617,0.0042254354316584,871.2492773721327,0.008762972800622297,17976288.12846911,17852127.19870568,421.35498729266556,0.008372345894126165,8825871.193000447,8765270.464116774,35731.6592793525,0.010512130907661121,504470831.156269,500241489.0648897,15588.12167802084,0.010305133577359292,221111620.96100825,219261372.0601203,1292.6042646647984,51319.78095737334,52612.38522203814,True,True,True
97143,11.578678772,0.038174552672,0.054351863792,0.0020748580871490737,0.002954125097664121,596.8785947126893,0.008629673069822198,17976287.89593868,17880176.047143295,300.9140402272339,0.008472460461711821,8825871.106447786,8777746.327033658,25131.716532761642,0.011283929023132173,504470830.60998034,501233524.06717134,12033.236907491284,0.011253678747646378,221111620.75572744,219621039.92505524,897.7926349399231,37164.953440252924,38062.746075192845,True,True,True
97152,36.376355575,0.11822997434,0.11834944141,0.013992451421057634,0.014006590282059025,4427.764664427105,0.03435182300650608,17976289.486116707,17710268.192863524,2424.4420878316146,0.03091005292125593,8825871.69849388,8687026.461366253,369906.6692988804,0.03897450305120928,504470835.8330198,490972944.8259816,161311.8884280568,0.03806205779448513,221111622.71840677,215232820.8910657,6852.20675225872,531218.5577269371,538070.7644791958,True,True,True
97176,43.273619339,0.042233960329,0.080790932513,0.0034121210386969586,0.00652717477632012,1564.6498135497322,0.01255802583489432,17976287.85119424,17812246.441760916,723.5819979290538,0.012535987612121442,8825871.090051241,8748123.998761784,83068.92210882992,0.018353671348567947,504470832.4208052,498046234.104361,36490.15550701923,0.01769308180172806,221111621.4361872,218297393.460335,2288.231811478786,119559.07761584915,121847.30942732794,True,True,True
97178,97.336870402,0.066877490747,0.041544006609,0.0027783589175867044,0.0017259044851286355,431.4867283547909,0.009780432502034912,17976288.400917187,17891737.58804554,231.95401521559555,0.009058184500691246,8825871.291894924,8782124.036154572,6009.847392460617,0.004310652331456212,504470829.8438048,502732880.1904145,2657.324511515323,0.004312612594506824,221111620.46662366,220346773.2786587,663.4407435703864,8667.171903975941,9330.612647546328,True,True,True
97194,91.556255337,0.07003278952,0.10877682758,0.007617944670563471,0.011832398218369048,4463.471560257976,0.018686461120456903,17976288.139225062,17695352.246403404,2115.8741455733184,0.01834146084708942,8825871.197596708,8690538.138364337,277034.34047544736,0.029427211264489855,504470835.2572775,492677208.33513474,120672.87255825607,0.02887489630432746,221111622.50205818,215960462.99721128,6579.345705831294,397707.21303370345,404286.55873953475,True,True,True
97204,19.828441998,0.071017485362,0.066344554316,0.004711623414984945,0.004401599887388675,1287.9915397769275,0.01790152180043922,17976288.4221794,17838806.01949597,719.0062130204794,0.017762516228733947,8825871.301807104,8754471.88063418,37608.543006524924,0.01681649622675123,504470830.9337043,500409299.3522993,17160.336851657543,0.016772898794338433,221111620.8771726,219311032.8947308,2006.997752797407,54768.87985818247,56775.87761097987,True,True,True
97222,6.3313844943,0.02831707196,0.093184593927,0.002638714851794238,0.008683368545339885,6245.525921776154,0.025791124342939592,17976287.605786793,17675672.225297745,2733.291277107479,0.02563339108383607,8825870.989621565,8688453.668279871,345863.14984826057,0.03281807196740828,504470834.8161334,491866653.9909102,146839.89544169614,0.03278991928511245,221111622.33144626,215679529.73111692,8978.817198883633,492703.04528995673,501681.86248884036,True,True,True
97255,80.402198353,0.01705075414,0.03324254183,0.0005668104077319957,0.0011050665873192998,52.510362279863614,0.002021308460234531,17976287.777881686,17946200.708052233,24.13438676336994,0.0019809233616914436,8825871.062391121,8811613.881368846,2501.199427170922,0.0028243454512057405,504470829.6323217,503350136.27836615,1099.6050239495933,0.0027371270921577174,221111620.38834918,220619818.8314755,76.64474904323356,3600.8044511205153,3677.449200163749,True,True,True
97274,22.794860363,0.050178596481,0.12832071153,0.006438953204018674,0.016466205007565474,9254.642067501167,0.03261560714707082,17976287.65381976,17594904.429214004,4168.169048649192,0.0317652226949592,8825871.017286245,8647272.815015001,576498.2139693382,0.058411293009441485,504470838.1599572,488041548.71894526,249892.3608531638,0.05895860321766225,221111623.59280798,214001736.8992634,13422.811116150358,826390.574822502,839813.3859386523,True,True,True
97373,77.880665681,0.031422689585,0.0031193252341,9.801758854578174e-05,9.73018991609302e-06,10.119855629852319,0.001906854888789917,17976287.925643463,17964890.19199776,6.015951225244448,0.0018015659528039351,8825871.115551485,8819580.157120282,0.19370143737736975,2.5811579341928872e-05,504470828.69697386,504460976.9475387,0.08548733699065639,2.464811996866997e-05,221111620.03597876,221107287.48661393,16.135806855096767,0.27918877436802614,16.414995629464794,True,False,True
97379,26.95381446,0.008802413405,0.0046882793254,4.1268172780285324e-05,2.1979963032973084e-05,0.11197198607965848,0.00017382530023980216,17976287.789865855,17974926.19831466,0.05973116514461592,0.00018447914283688444,8825871.06674559,8825181.410539826,1.0916739150137595,6.087166760400412e-05,504470828.93548286,504447799.63519543,0.474376550504242,6.271227940025202e-05,221111620.1264899,221101615.36949718,0.1717031512242744,1.5660504655180016,1.737753616742276,False,False,False
97433,61.585570319,0.035425784732,0.16435474,0.005822395638923829,0.0270124805604676,23082.17704088766,0.0430563073728286,17976287.175850566,17356972.379965264,10376.999918786434,0.042928160312853056,8825870.839833863,8536789.123653898,1429528.083317147,0.0699987321646392,504470844.98179275,477726046.2024147,631383.2956093964,0.07109885323336043,221111626.15622735,209349501.15077606,33459.17695967409,2060911.3789265435,2094370.5558862176,True,True,True
97540,5.0055162662,0.0057513879261,0.014207223081,8.171125129147263e-05,0.00020184518767329913,3.3032229594551383,0.0006271606394998365,17976287.770739984,17969399.996322956,1.4443782722772578,0.0006302934690032059,8825871.059659302,8822753.0428313,160.4886676550727,0.0007703626903176294,504470828.96946216,504200784.98625124,66.88491746231522,0.0007696677317485335,221111620.13926426,220997128.68864194,4.747601231732396,227.3735851173879,232.1211863491203,True,True,True
97775,31.179347655,0.03278219706,0.054856671828,0.001798322225921246,0.003009254444044889,395.47542093623184,0.00643370952629267,17976287.84263223,17895697.738235567,182.90732911401176,0.006096042821977058,8825871.086615484,8787803.398391781,18988.04213976758,0.008564670992744631,504470830.63864267,501430206.2540769,8246.251360113998,0.008406461171791882,221111620.76649797,219790585.67424667,578.3827500502437,27234.293499881576,27812.67624993182,True,True,True
97795,23.697593144,0.036451026921,0.059003521486,0.002150738950119988,0.0034814155477488635,559.6251010752142,0.0078022053724269855,17976287.86243252,17880925.531208895,259.36962305954586,0.007592101620494403,8825871.0940235,8780572.48210928,26591.706428843245,0.012030779690983208,504470830.9167705,500915467.9679229,11522.702954670918,0.012188704281175357,221111620.87101105,219572218.5304627,818.99472413476,38114.40938351416,38933.40410764892,True,True,True
97816,48.632200483,0.11425307458,0.092990160432,0.01062441173504346,0.008647169937169097,4001.811520769558,0.03316992482774505,17976289.524215102,17728294.195129972,2165.580828552351,0.030687873589702312,8825871.709331911,8696658.364885494,153245.5233261771,0.025085134928927513,504470832.9960482,495730158.515951,67477.27550946594,0.023451619057001775,221111621.65074697,217274044.03138816,6167.392349321908,220722.79883564304,226890.19118496496,True,True,True
97821,79.46005181,0.032994415666,0.021375953147,0.0007052870833890587,0.00045693137294273913,30.772370793552476,0.0023739932972171585,17976287.928322416,17953423.187547106,16.54340446734221,0.0021991885432440777,8825871.117796058,8814117.970930152,425.09099931974526,0.0011776814781121654,504470828.97528046,504009077.1877634,186.91648237468567,0.0011293785615251197,221111620.14120108,220908958.0329629,47.31577526089468,612.0074816944309,659.3232569553256,True,True,True
97849,10.46283647,0.030025937586,0.035531648066,0.0010668710471574338,0.0012624980142860818,159.86097170736116,0.004254820044774944,17976287.874894913,17926403.434192568,79.62084015920233,0.00421133444399355,8825871.098469663,8801059.836039077,5617.573065179779,0.00483442944378595,504470829.446266,502924659.6402714,2589.412631712995,0.004822440439120814,221111620.3184345,220412496.57833713,239.48181186656348,8206.985696892774,8446.467508759339,True,True,True
97963,27.251789839,0.10635472246,0.053533954361,0.0056935888582504614,0.0028658842695256314,1453.4789360637337,0.0231983129240648,17976289.446802225,17824613.534409974,839.2864754846919,0.024795653908140994,8825871.675522726,8746166.817304136,18437.09370892481,0.0078070040892877215,504470829.9234556,501476503.6710143,8004.397285292992,0.007944826360436351,221111620.4936817,219811306.06646615,2292.7654115484256,26441.490994217802,28734.256405766228,True,True,True
