point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
21,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0316227766017,0,0.178778770218,0,1.51824452492,0.572081437782,0,0.946163087139,0,0.104221153298,0.467860284484,0.42995247497,0.125843655719,0.00606761115839,0.0102176959352,1472,0,-0.00175305864077,0.00186300053296,0.00255996420383,0.00235947531027,0.00472834822229,0.00271367297863,-0.000208288713366,3.60660913105e-005,-0.00234157225309,-0.000365096758609,0.0123506959111,-0.00426647935717,0,0.0123506959111,-0.00278230733921,0,-0.0126392471683,0.00366228500346,0,-0.0126392471683,0.00213371585352,0,0.000868515116351,0.000868515116351,-0.000674266470356,-0.000674266470356
22,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0421696503429,0,0.206823872408,0,2.72379222479,1.03074584339,0,1.6930463814,0,0.181373683515,0.849372159873,0.776866180286,0.224690726327,0.0108863052556,0.0183026315197,1472,0,-0.00234788146516,0.00249459977173,0.00342066118261,0.00315113207504,0.00629759211334,0.00361006619402,-0.000279977820335,4.76799638304e-005,-0.00311053693855,-0.000473542509475,0.0165244162354,-0.00570259310546,0,0.0165244162354,-0.00371272991587,0,-0.0169065248574,0.00490241114314,0,-0.0169065248574,0.00285371994452,0,0.00117456162612,0.00117456162612,-0.000917430169497,-0.000917430169497
23,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.056234132519,0,0.239418106092,0,4.90117490927,1.86601316877,0,3.0351617405,0,0.313259496736,1.55275367203,1.4118088543,0.401756644684,0.0195868717787,0.0328607980109,1472,0,-0.00314871614277,0.00334455780527,0.00457354123712,0.00421032218178,0.00838479784893,0.00479880638211,-0.000377230251548,6.28559101863e-005,-0.00412741684798,-0.00060808918903,0.0221302197212,-0.00762756045673,0,0.0221302197212,-0.00495521123746,0,-0.022635054561,0.00657022573597,0,-0.022635054561,0.00382009276903,0,0.00159602741796,0.00159602741796,-0.00125649751748,-0.00125649751748
24,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0749894209332,0,0.277385433428,0,8.85444781457,3.40067515607,0,5.45377265849,0,0.535447268612,2.86522788746,2.586347487,0.719784328941,0.0353687615889,0.0591745785428,1472,0,-0.00422979406276,0.00449128187858,0.00611964939432,0.0056287089877,0.0111594863026,0.0063724498201,-0.000509742936729,8.25588906235e-005,-0.00546949109146,-0.000770084006954,0.029673348285,-0.0102115462616,0,0.029673348285,-0.00661490965597,0,-0.0303382967363,0.00881862393733,0,-0.0303382967363,0.00511943144107,0,0.00218262637446,0.00218262637446,-0.00173577356588,-0.00173577356588
25,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.1,0,0.321750554397,0,16.0823651859,6.25579402002,0,9.82657116589,0,0.902106160827,5.35368785919,4.79155589147,1.29311805845,0.064158844463,0.106961225638,1472,0,-0.00569374267279,0.00604300431459,0.0081958809442,0.00752993609375,0.0148468742598,0.00845091962371,-0.000691170319941,0.000107936606839,-0.00723772400731,-0.000956403856309,0.0398435134523,-0.0136860886589,0,0.0398435134523,-0.00883245207826,0,-0.0407158537008,0.0118583501167,0,-0.0407158537008,0.00687000711339,0,0.00301054752495,0.00301054752495,-0.00242504216652,-0.00242504216652
26,analytic_3p1,standard3nu,ND+FD,uniform,0.133352143216,0.0001,0,0.0100001666742,0,5.39588627985e-005,5.39588627985e-005,0,0,0,4.56669123975e-006,4.93921715588e-005,4.2308435154e-005,1.16261889114e-005,1.69311709756e-008,7.3075621003e-009,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,analytic_3p1,standard3nu,ND+FD,uniform,0.133352143216,0.000133352143216,0,0.0115480765167,0,3.02417836601e-005,1.39119876529e-005,0,1.63297960072e-005,0,6.20640087648e-006,7.70558677643e-006,1.06179421135e-005,3.00199885749e-006,1.20418415198e-007,1.71628266743e-007,1472,0,-7.15334222695e-006,7.68087084782e-006,1.23876433524e-005,1.16672281116e-005,2.12357907944e-005,1.2890241368e-005,-8.72749848862e-007,1.61685543198e-007,-9.44836113278e-006,-1.38840013388e-006,5.0490669373e-005,-1.94762787592e-005,0,5.04906693732e-005,-1.34773563787e-005,0,-5.2614918843e-005,1.50731288172e-005,0,-5.2614918843e-005,8.75550648606e-006,0,3.66475110556e-006,3.66475110556e-006,-2.23442363943e-006,-2.23442363943e-006
28,analytic_3p1,standard3nu,ND+FD,uniform,0.133352143216,0.000177827941004,0,0.0133356095822,0,5.37643567548e-005,2.47262763572e-005,0,2.90380803976e-005,0,1.10207293296e-005,1.37055470276e-005,1.88822553583e-005,5.33874163078e-006,1.95391325253e-007,3.09888042911e-007,1472,0,-9.53903651441e-006,1.02424911605e-005,1.65188750227e-005,1.55581797474e-005,2.83175350832e-005,1.71888645738e-005,-1.16383316535e-006,2.15599461647e-007,-1.25990753173e-005,-1.85122814764e-006,6.73294472993e-005,-2.59715777083e-005,0,6.73294472992e-005,-1.79719303549e-005,0,-7.01620742244e-005,2.01001017955e-005,0,-7.01620742244e-005,1.16754767525e-005,0,4.88715222944e-006,4.88715222944e-006,-2.97985219748e-006,-2.97985219748e-006
29,analytic_3p1,standard3nu,ND+FD,uniform,0.133352143216,0.000237137370566,0,0.0153998739491,0,9.56083705856e-005,4.39725885213e-005,0,5.16357820642e-005,0,1.95935109419e-005,2.43790775794e-005,3.35825273452e-005,9.49419118552e-006,3.43861276253e-007,5.52008714342e-007,1472,0,-1.27203341964e-005,1.36583774566e-005,2.20277174908e-005,2.07465988843e-005,3.77605337015e-005,2.29207438462e-005,-1.55200097845e-006,2.87485742e-007,-1.68002181141e-005,-2.46823776127e-006,8.9783585073e-005,-3.4632842069e-005,0,8.9783585073e-005,-2.39652194872e-005,0,-9.35607665891e-005,2.68034923684e-005,0,-9.35607665891e-005,1.55691805369e-005,0,6.51735003787e-006,6.51735003787e-006,-3.97405313466e-006,-3.97405313466e-006
30,analytic_3p1,standard3nu,ND+FD,uniform,0.133352143216,0.000316227766017,0,0.0177837314693,0,0.000170000950737,7.81829363623e-005,0,9.18180143744e-005,0,3.48140313772e-005,4.33689049851e-005,5.972928522e-005,1.68847349727e-005,5.96555870789e-007,9.72360298795e-007,1472,0,-1.69625262995e-005,1.82133762584e-005,2.93734439669e-005,2.76650255277e-005,5.03518026786e-005,3.05635685911e-005,-2.06963457882e-006,3.83331482776e-007,-2.24018171527e-005,-3.2907106482e-006,0.000119725354694,-4.61821906737e-005,0,0.000119725354693,-3.19568271234e-005,0,-0.000124761974312,3.57422772659e-005,0,-0.000124761974312,2.07612705494e-005,0,8.69143109894e-006,8.69143109894e-006,-5.30011879663e-006,-5.30011879663e-006
